"","text"
"1"," sirkuit mandalika bagus jg  langsung pantai gt ya  "
"2","mandalika          layak     jadwal kejuar "
"3","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"4","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"5","jelang motogp indonesia   sirkuit mandalika sandiaga uno temui hadi tjahjanto     "
"6","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"7","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"8","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"9"," balapan motor tempattempat wisata   sirkuit  otomatis  magnet  pembalap kru  wisat "
"10","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"11","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"12","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"13","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"14","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"15"," sirkuit mandalika  diguyur hujan     turun  menjajalnya  sepeda motor      ya"
"16","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"17","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"18","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem"
"19","   petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika bula "
"20","  merek mobil sports car  super car   bertarung  balapan gt world challenge asia   "
"21"," ajang world superbike sukses digelar  sirkuit mandalika ntb  november  sirkuit kebanggaan indonesia   baka"
"22","jelang motogp indonesia  menteri basuki cek kesiapan sirkuit mandalika   "
"23","kejuaraan motor superbike  wsbk  sirkuit mandalika berjalan sukses menyisakan   "
"24","  sirkuit mandalika aja   itupun dibangun  "
"25"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara"
"26"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara"
"27"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara"
"28"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara"
