"","text","score","polarity"
"1"," sirkuit mandalika bagus jg  langsung pantai gt ya  ",0,"Netral"
"2","mandalika          layak     jadwal kejuar ",1,"Positif"
"3","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"4","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"5","jelang motogp indonesia   sirkuit mandalika sandiaga uno temui hadi tjahjanto     ",0,"Netral"
"6","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"7","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"8","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"9"," balapan motor tempattempat wisata   sirkuit  otomatis  magnet  pembalap kru  wisat ",0,"Netral"
"10","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"11","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"12","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"13","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"14","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"15"," sirkuit mandalika  diguyur hujan     turun  menjajalnya  sepeda motor      ya",-3,"Negatif"
"16","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"17","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"18","    petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika  novem",0,"Netral"
"19","   petinggi formula  f memantau gelaran worldsbk indonesia   sirkuit mandalika bula ",0,"Netral"
"20","  merek mobil sports car  super car   bertarung  balapan gt world challenge asia   ",0,"Netral"
"21"," ajang world superbike sukses digelar  sirkuit mandalika ntb  november  sirkuit kebanggaan indonesia   baka",2,"Positif"
"22","jelang motogp indonesia  menteri basuki cek kesiapan sirkuit mandalika   ",-1,"Negatif"
"23","kejuaraan motor superbike  wsbk  sirkuit mandalika berjalan sukses menyisakan   ",2,"Positif"
"24","  sirkuit mandalika aja   itupun dibangun  ",0,"Netral"
"25"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara",0,"Netral"
"26"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara",0,"Netral"
"27"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara",0,"Netral"
"28"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara",0,"Netral"
"29"," kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   bandara",0,"Netral"
"30","kementerian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika   ",0,"Netral"
"31","kabar gembira  pecinta motogp ditanah air sembuh  cedera marquez jajal sirkuit mandalika ",0,"Netral"
"32","pintu masuk  tribun motogp  sirkuit mandalika   bertambah  menampung  penonton  diperk ",1,"Positif"
"33","mandalika menyambut kehadiran  pebalap motogp  menjalani tes pramusim  februari   momen pent ",0,"Netral"
"34","motogp  mengaum  sirkuit mandalika  tes resmi   oebruari  ",1,"Positif"
"35"," mandalika sirkuit",0,"Netral"
"36"," kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara international",-1,"Negatif"
"37","     usut  sirkuit mandalikasampai   keterlibatan anies  sir",0,"Netral"
"38"," oh yg  pakai  presiden jokowi  peresmian sirkuit mandalika  produk anak negeri   ker ",1,"Positif"
"39","   mandalika dihadirkan  sejuta pesona  keindahannya salah satunya ",-1,"Negatif"
"40","  melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  ntb   bandar",0,"Netral"
"41","  melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  ntb   bandar",0,"Netral"
"42","  melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  ntb   bandar",0,"Netral"
"43","  melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  ntb   bandar",0,"Netral"
"44","jadwal tes resmi motogp   sirkuit mandalika ",1,"Positif"
"45","    pinjam sirkuit mandalika ajalahribet ribet ribet klo ga paka ",-2,"Negatif"
"46"," presiden   mantan panglima tni marsekal tni purnhadi tjahjantosebagai komandan lapangan moto gpmandalika",1,"Positif"
"47","pemirsa motogp  sirkuit mandalika  mencapai  ",0,"Netral"
"48","   sirkuit  ancol semahal   mahal   sirkuit internasional mandali ",-1,"Negatif"
"49","situasi terkini sirkuit mandalika",0,"Netral"
"50","hadi tjahjanto komandan lapangan sirkuit motogp mandalika ",1,"Positif"
"51","penonton motogp   sirkuit mandalika diprediksi mencapai  ribu orang  ",0,"Netral"
"52","     usut  sirkuit mandalikasampai   keterlibatan anies  sir",0,"Netral"
"53","    usut  sirkuit mandalikasampai   keterlibatan anies ",0,"Netral"
"54"," sirkuit mandalika",0,"Netral"
"55","penonton motogp   sirkuit mandalika diprediksi mencapai  ribu orang ",0,"Netral"
"56"," kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara international",-1,"Negatif"
"57"," kementerian pupr melanjutkan  penataan koridor jalan bypass bandara international lombok bil mandalika   ban",0,"Netral"
"58"," kementerian pupr melanjutkan  penataan koridor jalan bypass bandara international lombok bil mandalika   ban",0,"Netral"
"59","   ancol   venue nya formula epinter aja bego begoin masyarakat   ya   k ",0,"Netral"
