"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Raja Salman, Media Asing Dan 1,6 M Penonton Kepincut Mandalika, Jokowi Makin Berkibar, Kadrun Ambyar!

https://t.co/yku2zXRBGt",FALSE,1,NA,2021-11-29 10:05:12,FALSE,NA,"1465260549315256326",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","neen4noor",0,FALSE,FALSE,NA,NA
"@_ekokuntadhi Ya Harus Tolongin om Sirkuit Mandalika
pembebasan Tanah Belum DIBAYAR.
Tolongin itu om SIRKUIT MANDAL… https://t.co/aezU0ZNoSu",FALSE,0,"_ekokuntadhi",2021-11-29 10:04:53,TRUE,"1463791356258574337","1465260467459289091","198412976","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FajarHi77302994",0,FALSE,FALSE,NA,NA
"@Dennysiregar7 Sy yakin lebih bersih daripada mandalika....yg kebanjiran.hahahaha",FALSE,0,"Dennysiregar7",2021-11-29 10:01:11,FALSE,"1464959542391836672","1465259539012329475","4780649298","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HeruSup80445135",0,FALSE,FALSE,NA,NA
"@FerdinandHaean3 Ya sama mandalika itu bagian dari kebituhan warga. Tuh kan kesitu kan larinya. Kau sebenarnya buka… https://t.co/pOhSEBMg7Q",FALSE,0,"FerdinandHaean3",2021-11-29 09:58:37,TRUE,"1464932151279845381","1465258892225515522","1266163382807224320","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IshM73",0,FALSE,FALSE,NA,NA
"Gak lah sama bambaaaaaaaang........
<U+0001F92D><U+0001F640><U+0001F61C><U+0001F92A><U+0001F975><U+0001F975><U+0001F975>

https://t.co/JyvxnAxspU",FALSE,0,NA,2021-11-29 09:55:13,FALSE,NA,"1465258033819226113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OnlyOnesia",0,FALSE,FALSE,NA,NA
"RT @ganjarpranowo: Selain menyaksikan WSBK yang luar biasa, pemandangan Sirkuit Mandalika jg sangat mempesona. Benar-benar bangga kita puny…",FALSE,0,NA,2021-11-29 09:55:07,FALSE,NA,"1465258011912400899",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mbapupunk",201,TRUE,FALSE,NA,NA
"RT @atr_bpn: Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang berkualitas.

Yuk kapan kit…",FALSE,0,NA,2021-11-29 09:54:16,FALSE,NA,"1465257795058548736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kantahPariaman",15,TRUE,FALSE,NA,NA
"RT @IpungLombok: Saya tanya @Gerindra dan @jokowi,  Apakah kemegahan Sirkuit Mandalika sebanding dengan kondisi jalan desa yg berlubang dan…",FALSE,0,NA,2021-11-29 09:54:08,FALSE,NA,"1465257762233847817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RohmansahRoi",43,TRUE,FALSE,NA,NA
"RT @hudattamini: @alextham878 Formula E Sdh habiskan APBD 1,3 T tapi Venue Fiktif .....itu jelas Korupsi, karna sirkuit Mandalika seharga 1…",FALSE,0,NA,2021-11-29 09:53:37,FALSE,NA,"1465257634089504768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bersatulahnkri",4,TRUE,FALSE,NA,NA
"Wisata Pura Batu Bolong di Sekitar Sirkuit Mandalika  https://t.co/XHTapTYgBK",FALSE,1,NA,2021-11-29 09:48:34,FALSE,NA,"1465256360447070208",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Bisniscom",0,FALSE,FALSE,NA,NA
